24.232.0.0,24.232.255.255,65536,02/06/97,
66.60.0.0,66.60.63.255,16384,26/12/00,
66.128.32.0,66.128.47.255,4096,24/04/14,
140.191.0.0,140.191.255.255,65536,23/05/90,
152.168.0.0,152.171.255.255,262144,22/04/14,
152.231.48.0,152.231.63.255,4096,14/05/14,
157.92.0.0,157.92.255.255,65536,17/12/91,
161.22.0.0,161.22.31.255,8192,14/04/14,
161.190.0.0,161.190.255.255,65536,21/01/93,
163.10.0.0,163.10.255.255,65536,01/07/92,
167.252.0.0,167.252.255.255,65536,26/11/93,
168.83.0.0,168.83.255.255,65536,23/02/94,
168.96.0.0,168.96.255.255,65536,03/03/94,
168.101.0.0,168.101.255.255,65536,07/03/94,
168.226.0.0,168.226.255.255,65536,22/08/94,
170.51.0.0,170.51.255.255,65536,10/02/94,
170.155.0.0,170.155.255.255,65536,03/06/94,
170.210.0.0,170.210.255.255,65536,24/01/95,
179.0.224.0,179.0.255.255,8192,05/05/14,
179.36.0.0,179.39.255.255,262144,20/06/13,
179.40.0.0,179.41.255.255,131072,20/06/13,
179.42.176.0,179.42.191.255,4096,05/09/13,
179.43.64.0,179.43.79.255,4096,14/10/13,
179.43.112.0,179.43.127.255,4096,05/11/13,
179.49.96.0,179.49.111.255,4096,26/06/13,
179.51.80.0,179.51.95.255,4096,29/01/14,
179.51.224.0,179.51.239.255,4096,11/11/13,
179.60.0.0,179.60.31.255,8192,14/08/13,
179.60.96.0,179.60.111.255,4096,26/08/13,
179.61.16.0,179.61.31.255,4096,10/12/13,
179.61.32.0,179.61.63.255,8192,10/12/13,
179.61.64.0,179.61.79.255,4096,16/12/13,
179.61.80.0,179.61.95.255,4096,27/12/13,
179.62.0.0,179.62.255.255,65536,28/05/13,
181.0.0.0,181.15.255.255,1048576,03/12/10,
181.16.0.0,181.16.63.255,16384,04/01/11,
181.16.64.0,181.16.127.255,16384,30/04/12,
181.16.128.0,181.16.255.255,32768,05/01/11,
181.20.0.0,181.23.255.255,262144,13/01/11,
181.24.0.0,181.27.255.255,262144,02/01/13,
181.28.0.0,181.31.255.255,262144,21/01/11,
181.41.224.0,181.41.255.255,8192,07/08/13,
181.44.0.0,181.45.255.255,131072,16/12/13,
181.46.0.0,181.47.255.255,131072,15/12/11,
181.78.0.0,181.79.255.255,131072,26/02/14,
181.80.0.0,181.95.255.255,1048576,19/09/11,
181.96.0.0,181.111.255.255,1048576,21/06/12,
181.114.32.0,181.114.47.255,4096,09/08/13,
181.114.128.0,181.114.159.255,8192,08/02/13,
181.114.192.0,181.114.223.255,8192,24/08/12,
181.116.0.0,181.116.255.255,65536,09/08/12,
181.117.0.0,181.117.255.255,65536,04/02/13,
181.118.0.0,181.118.31.255,8192,10/08/12,
181.118.64.0,181.118.127.255,16384,14/08/12,
181.118.128.0,181.118.143.255,4096,11/10/13,
181.118.176.0,181.118.191.255,4096,26/08/13,
181.118.192.0,181.118.207.255,4096,25/04/13,
181.118.208.0,181.118.223.255,4096,25/04/13,
181.118.224.0,181.118.255.255,8192,14/08/12,
181.119.0.0,181.119.255.255,65536,20/08/12,
181.164.0.0,181.167.255.255,262144,28/12/11,
181.168.0.0,181.171.255.255,262144,14/05/13,
181.174.128.0,181.174.159.255,8192,12/09/13,
181.174.192.0,181.174.207.255,4096,05/11/13,
181.177.0.0,181.177.63.255,16384,28/01/13,
181.189.160.0,181.189.175.255,4096,26/12/12,
181.189.192.0,181.189.223.255,8192,18/12/12,
181.192.0.0,181.192.31.255,8192,26/03/13,
181.192.32.0,181.192.63.255,8192,04/07/13,
181.192.64.0,181.192.79.255,4096,06/06/13,
181.192.80.0,181.192.95.255,4096,01/07/13,
181.197.192.0,181.197.255.255,16384,20/11/13,
181.199.144.0,181.199.159.255,4096,29/07/13,
181.199.160.0,181.199.175.255,4096,22/07/13,
181.209.0.0,181.209.127.255,32768,25/09/12,
181.224.96.0,181.224.127.255,8192,17/10/12,
181.225.0.0,181.225.31.255,8192,18/06/13,
181.225.192.0,181.225.223.255,8192,20/08/13,
181.228.0.0,181.229.255.255,131072,26/10/12,
181.230.0.0,181.231.255.255,131072,30/10/13,
181.238.0.0,181.239.255.255,131072,29/11/12,
186.0.160.0,186.0.175.255,4096,07/06/10,
186.0.192.0,186.0.255.255,16384,10/06/10,
186.1.208.0,186.1.223.255,4096,01/09/11,
186.1.224.0,186.1.239.255,4096,31/08/10,
186.4.64.0,186.4.127.255,16384,26/08/10,
186.5.176.0,186.5.191.255,4096,11/01/13,
186.5.192.0,186.5.223.255,8192,06/12/11,
186.5.240.0,186.5.255.255,4096,12/04/12,
186.12.0.0,186.12.127.255,32768,22/08/08,
186.12.128.0,186.12.255.255,32768,21/11/08,
186.13.0.0,186.13.255.255,65536,18/03/09,
186.18.0.0,186.18.255.255,65536,06/11/08,
186.19.0.0,186.19.255.255,65536,16/11/09,
186.22.0.0,186.23.255.255,131072,05/08/10,
186.26.64.0,186.26.95.255,8192,14/07/11,
186.26.96.0,186.26.111.255,4096,14/07/11,
186.33.0.0,186.33.63.255,16384,07/12/11,
186.33.192.0,186.33.255.255,16384,08/12/11,
186.38.0.0,186.38.255.255,65536,02/06/10,
186.39.0.0,186.39.255.255,65536,13/01/11,
186.56.0.0,186.56.127.255,32768,04/08/08,
186.56.128.0,186.56.255.255,32768,30/12/08,
186.57.0.0,186.57.255.255,65536,30/12/08,
186.58.0.0,186.59.255.255,131072,30/12/08,
186.60.0.0,186.63.255.255,262144,16/07/09,
186.64.0.0,186.64.63.255,16384,05/08/08,
186.64.64.0,186.64.95.255,8192,16/09/11,
186.96.0.0,186.96.63.255,16384,26/11/08,
186.96.128.0,186.96.191.255,16384,22/10/10,
186.96.208.0,186.96.223.255,4096,22/09/11,
186.96.224.0,186.96.239.255,4096,22/10/10,
186.100.0.0,186.100.255.255,65536,08/04/09,
186.108.0.0,186.111.255.255,262144,20/10/09,
186.121.128.0,186.121.191.255,16384,16/03/12,
186.122.0.0,186.122.255.255,65536,23/07/09,
186.123.0.0,186.123.255.255,65536,03/06/10,
186.124.0.0,186.125.255.255,131072,23/07/09,
186.126.0.0,186.127.255.255,131072,24/05/10,
186.128.0.0,186.131.255.255,262144,28/09/09,
186.132.0.0,186.135.255.255,262144,02/06/10,
186.136.0.0,186.137.255.255,131072,17/04/09,
186.138.0.0,186.139.255.255,131072,21/01/11,
186.140.0.0,186.143.255.255,262144,07/09/09,
186.148.64.0,186.148.79.255,4096,07/05/13,
186.148.128.0,186.148.159.255,8192,29/07/11,
186.152.0.0,186.153.255.255,131072,24/05/10,
186.157.0.0,186.157.255.255,65536,09/06/11,
186.158.0.0,186.158.255.255,65536,12/03/12,
186.177.192.0,186.177.223.255,8192,21/11/13,
186.177.224.0,186.177.255.255,8192,03/07/13,
186.182.0.0,186.182.255.255,65536,23/09/10,
186.183.0.0,186.183.127.255,32768,19/03/14,
186.189.0.0,186.189.127.255,32768,17/10/11,
186.189.128.0,186.189.191.255,16384,17/10/11,
186.189.192.0,186.189.223.255,8192,17/10/11,
186.189.224.0,186.189.239.255,4096,17/10/11,
186.190.128.0,186.190.159.255,8192,30/11/10,
186.190.160.0,186.190.175.255,4096,06/01/11,
186.190.176.0,186.190.191.255,4096,27/04/11,
186.190.192.0,186.190.207.255,4096,23/12/10,
186.191.0.0,186.191.255.255,65536,08/11/10,
190.0.96.0,190.0.111.255,4096,28/11/08,
190.0.112.0,190.0.127.255,4096,09/07/09,
190.0.160.0,190.0.175.255,4096,19/09/08,
190.0.176.0,190.0.191.255,4096,19/03/10,
190.1.0.0,190.1.31.255,8192,10/02/06,
190.1.32.0,190.1.63.255,8192,22/02/07,
190.1.96.0,190.1.127.255,8192,03/12/10,
190.2.0.0,190.2.31.255,8192,17/01/06,
190.2.32.0,190.2.63.255,8192,09/03/07,
190.2.96.0,190.2.111.255,4096,09/05/07,
190.2.112.0,190.2.127.255,4096,28/01/10,
190.2.240.0,190.2.255.255,4096,22/09/11,
190.3.0.0,190.3.63.255,16384,07/03/06,
190.3.64.0,190.3.127.255,16384,30/01/07,
190.3.128.0,190.3.159.255,8192,21/06/06,
190.4.112.0,190.4.127.255,4096,18/10/11,
