190.101.128.0,190.101.255.255,32768,26/04/11,
190.102.224.0,190.102.239.255,4096,04/04/08,
190.102.240.0,190.102.255.255,4096,04/06/09,
190.103.144.0,190.103.159.255,4096,26/04/12,
190.108.128.0,190.108.159.255,8192,29/08/08,
190.108.160.0,190.108.191.255,8192,02/12/08,
190.110.96.0,190.110.111.255,4096,07/06/12,
190.110.128.0,190.110.159.255,8192,23/09/08,
190.110.160.0,190.110.175.255,4096,13/10/10,
190.113.0.0,190.113.31.255,8192,10/06/09,
190.114.32.0,190.114.63.255,8192,09/08/12,
190.120.160.0,190.120.175.255,4096,26/01/09,
190.121.0.0,190.121.31.255,8192,10/12/08,
190.121.32.0,190.121.63.255,8192,05/08/10,
190.121.64.0,190.121.127.255,16384,16/07/09,
190.123.64.0,190.123.79.255,4096,02/09/09,
190.151.0.0,190.151.127.255,32768,16/09/08,
190.153.128.0,190.153.255.255,32768,28/03/11,
190.160.0.0,190.161.255.255,131072,22/03/07,
190.162.0.0,190.163.255.255,131072,09/09/08,
190.164.0.0,190.164.127.255,32768,25/06/07,
190.164.128.0,190.164.255.255,32768,30/10/07,
190.171.128.0,190.171.191.255,16384,27/07/10,
190.180.192.0,190.180.255.255,16384,30/04/14,
190.196.0.0,190.196.63.255,16384,02/07/07,
190.196.64.0,190.196.127.255,16384,02/07/08,
190.196.128.0,190.196.191.255,16384,22/12/09,
190.196.208.0,190.196.223.255,4096,05/06/12,
190.208.0.0,190.208.255.255,65536,25/07/07,
190.209.0.0,190.209.255.255,65536,10/09/08,
190.211.0.0,190.211.63.255,16384,05/08/10,
190.211.160.0,190.211.175.255,4096,10/09/10,
190.215.0.0,190.215.127.255,32768,18/08/10,
190.215.128.0,190.215.255.255,32768,20/03/12,
190.217.128.0,190.217.255.255,32768,11/04/11,
191.96.0.0,191.96.255.255,65536,24/10/13,
191.101.0.0,191.101.255.255,65536,13/03/14,
191.112.0.0,191.115.255.255,262144,12/02/14,
191.116.0.0,191.119.255.255,262144,10/10/13,
191.124.0.0,191.127.255.255,262144,09/10/13,
198.2.16.0,198.2.31.255,4096,03/12/92,
200.1.16.0,200.1.31.255,4096,18/02/93,
200.2.192.0,200.2.223.255,8192,20/02/01,
200.2.224.0,200.2.255.255,8192,25/07/05,
