3.0.0.0,3.255.255.255,16777216,23/02/88,
4.0.0.0,4.255.255.255,16777216,01/12/92,
6.0.0.0,6.255.255.255,16777216,01/02/94,
7.0.0.0,7.255.255.255,16777216,24/11/97,
8.0.0.0,8.255.255.255,16777216,01/12/92,
9.0.0.0,9.255.255.255,16777216,16/12/88,
11.0.0.0,11.255.255.255,16777216,19/01/84,
12.0.0.0,12.255.255.255,16777216,23/08/83,
13.0.0.0,13.63.255.255,4194304,25/04/86,
13.64.0.0,13.95.255.255,2097152,26/03/15,
13.96.0.0,13.103.255.255,524288,26/03/15,
13.104.0.0,13.107.255.255,262144,26/03/15,
13.108.0.0,13.111.255.255,262144,18/11/14,
13.112.0.0,13.127.255.255,1048576,25/04/86,
13.128.0.0,13.255.255.255,8388608,25/04/86,
15.0.0.0,15.255.255.255,16777216,01/07/94,
16.0.0.0,16.255.255.255,16777216,18/05/89,
17.0.0.0,17.255.255.255,16777216,16/04/90,
18.0.0.0,18.255.255.255,16777216,01/01/94,
19.0.0.0,19.255.255.255,16777216,15/06/88,
20.0.0.0,20.255.255.255,16777216,04/09/89,
21.0.0.0,21.255.255.255,16777216,01/07/91,
22.0.0.0,22.255.255.255,16777216,26/06/89,
23.0.0.0,23.15.255.255,1048576,17/12/10,
23.18.0.0,23.18.255.255,65536,12/09/11,
23.19.0.0,23.19.255.255,65536,25/04/11,
23.20.0.0,23.23.255.255,262144,19/09/11,
23.24.0.0,23.25.255.255,131072,13/01/12,
23.26.0.0,23.26.255.255,65536,03/02/12,
23.27.0.0,23.27.255.255,65536,13/02/12,
23.28.0.0,23.28.255.255,65536,21/02/12,
23.30.0.0,23.31.255.255,131072,30/04/12,
23.32.0.0,23.63.255.255,2097152,16/05/11,
23.64.0.0,23.67.255.255,262144,16/05/11,
23.68.0.0,23.71.255.255,262144,30/04/12,
23.72.0.0,23.79.255.255,524288,25/01/13,
23.80.0.0,23.83.255.255,262144,06/05/13,
23.84.0.0,23.87.255.255,262144,07/05/13,
23.88.0.0,23.89.255.255,131072,07/06/13,
23.93.0.0,23.93.255.255,65536,22/08/13,
23.94.0.0,23.95.255.255,131072,16/08/13,
23.96.0.0,23.103.255.255,524288,18/06/13,
23.104.0.0,23.111.255.255,524288,24/07/13,
23.112.0.0,23.127.255.255,1048576,09/08/13,
23.192.0.0,23.223.255.255,2097152,12/07/13,
23.224.0.0,23.225.255.255,131072,04/09/13,
23.230.0.0,23.230.255.255,65536,11/09/13,
23.237.0.0,23.237.255.255,65536,07/10/13,
23.240.0.0,23.243.255.255,262144,20/09/13,
23.244.0.0,23.245.255.255,131072,26/09/13,
23.253.0.0,23.253.255.255,65536,08/11/13,
24.0.0.0,24.15.255.255,1048576,06/10/03,
24.16.0.0,24.23.255.255,524288,08/12/03,
24.24.0.0,24.27.255.255,262144,09/06/00,
24.28.0.0,24.29.255.255,131072,09/06/00,
24.32.0.0,24.32.255.255,65536,13/10/04,
24.33.0.0,24.33.255.255,65536,28/09/01,
24.34.0.0,24.34.255.255,65536,18/09/01,
24.39.0.0,24.39.255.255,65536,19/02/04,
24.43.0.0,24.43.255.255,65536,05/06/08,
24.44.0.0,24.47.255.255,262144,01/05/01,
24.58.0.0,24.59.255.255,131072,02/11/01,
24.60.0.0,24.63.255.255,262144,15/08/01,
24.73.0.0,24.73.255.255,65536,26/09/01,
24.74.0.0,24.74.255.255,65536,23/10/01,
24.88.0.0,24.88.255.255,65536,19/06/00,
24.90.0.0,24.90.255.255,65536,12/07/01,
24.91.0.0,24.91.255.255,65536,26/04/00,
24.93.0.0,24.93.255.255,65536,02/05/97,
24.94.0.0,24.95.255.255,131072,02/05/97,
24.96.0.0,24.96.255.255,65536,31/05/96,
24.97.0.0,24.97.255.255,65536,26/09/01,
24.98.0.0,24.99.255.255,131072,24/09/01,
24.101.0.0,24.101.255.255,65536,07/03/08,
24.103.0.0,24.103.255.255,65536,11/03/08,
24.107.0.0,24.107.255.255,65536,09/04/02,
24.110.0.0,24.110.255.255,65536,23/03/04,
24.111.0.0,24.111.255.255,65536,07/05/04,
24.113.0.0,24.113.255.255,65536,07/01/04,
24.115.0.0,24.115.255.255,65536,28/10/04,
24.116.0.0,24.117.255.255,131072,25/09/96,
24.118.0.0,24.118.255.255,65536,17/09/01,
24.119.0.0,24.119.255.255,65536,19/02/03,
24.120.0.0,24.120.255.255,65536,21/02/01,
24.121.0.0,24.121.255.255,65536,20/09/01,
24.125.0.0,24.125.255.255,65536,10/09/01,
24.126.0.0,24.127.255.255,131072,04/09/01,
24.128.0.0,24.128.255.255,65536,30/07/96,
24.130.0.0,24.131.255.255,131072,19/07/96,
24.147.0.0,24.147.255.255,65536,13/10/99,
24.151.0.0,24.151.255.255,65536,05/01/00,
24.154.0.0,24.154.255.255,65536,16/03/00,
24.155.0.0,24.155.255.255,65536,03/04/00,
24.158.0.0,24.158.255.255,65536,06/03/01,
24.159.0.0,24.159.255.255,65536,08/09/00,
24.160.0.0,24.167.255.255,524288,09/06/00,
24.168.0.0,24.169.255.255,131072,09/06/00,
24.172.0.0,24.172.255.255,65536,17/06/02,
24.173.0.0,24.173.255.255,65536,17/03/03,
24.174.0.0,24.175.255.255,131072,15/04/02,
24.176.0.0,24.183.255.255,524288,28/10/03,
24.184.0.0,24.187.255.255,262144,12/12/00,
24.188.0.0,24.191.255.255,262144,29/07/99,
24.192.0.0,24.192.255.255,65536,30/06/05,
24.193.0.0,24.193.255.255,65536,05/04/02,
24.194.0.0,24.195.255.255,131072,11/07/02,
24.196.0.0,24.197.255.255,131072,23/05/01,
24.198.0.0,24.198.255.255,65536,03/08/01,
24.205.0.0,24.205.255.255,65536,01/06/01,
24.208.0.0,24.211.255.255,262144,29/06/01,
24.216.0.0,24.216.255.255,65536,28/01/99,
24.217.0.0,24.217.255.255,65536,22/02/99,
24.218.0.0,24.218.255.255,65536,14/01/99,
24.219.0.0,24.219.255.255,65536,07/11/00,
24.220.0.0,24.220.255.255,65536,15/12/98,
24.221.0.0,24.221.255.255,65536,08/12/98,
24.228.0.0,24.228.255.255,65536,31/03/97,
24.229.0.0,24.229.255.255,65536,02/05/97,
24.234.0.0,24.234.255.255,65536,22/07/97,
24.237.0.0,24.237.255.255,65536,14/10/97,
24.240.0.0,24.241.255.255,131072,17/12/99,
24.242.0.0,24.243.255.255,131072,21/05/01,
24.247.0.0,24.247.255.255,65536,14/07/00,
24.248.0.0,24.255.255.255,524288,28/10/03,
26.0.0.0,26.255.255.255,16777216,01/05/95,
28.0.0.0,28.255.255.255,16777216,11/03/96,
29.0.0.0,29.255.255.255,16777216,01/07/91,
30.0.0.0,30.255.255.255,16777216,01/07/91,
32.0.0.0,32.127.255.255,8388608,30/05/90,
32.128.0.0,32.191.255.255,4194304,30/05/90,
32.192.0.0,32.207.255.255,1048576,30/05/90,
32.208.0.0,32.223.255.255,1048576,30/05/90,
32.224.0.0,32.255.255.255,2097152,30/05/90,
33.0.0.0,33.255.255.255,16777216,01/01/91,
34.0.0.0,34.255.255.255,16777216,11/03/91,
35.0.0.0,35.127.255.255,8388608,01/04/94,
35.128.0.0,35.191.255.255,4194304,01/04/94,
35.192.0.0,35.223.255.255,2097152,01/04/94,
35.224.0.0,35.239.255.255,1048576,01/04/94,
35.240.0.0,35.247.255.255,524288,01/04/94,
35.248.0.0,35.255.255.255,524288,30/08/12,
38.0.0.0,38.255.255.255,16777216,16/04/91,
40.0.0.0,40.63.255.255,4194304,23/04/91,
40.64.0.0,40.71.255.255,524288,23/02/15,
40.74.0.0,40.75.255.255,131072,23/02/15,
40.76.0.0,40.79.255.255,262144,23/02/15,
40.80.0.0,40.95.255.255,1048576,23/02/15,
40.96.0.0,40.111.255.255,1048576,23/02/15,
40.112.0.0,40.119.255.255,524288,23/02/15,
40.120.0.0,40.123.255.255,262144,23/02/15,
40.124.0.0,40.124.255.255,65536,23/02/15,
40.127.0.0,40.127.255.255,65536,23/02/15,
40.128.0.0,40.143.255.255,1048576,13/11/12,
40.144.0.0,40.159.255.255,1048576,23/04/91,
40.160.0.0,40.191.255.255,2097152,23/04/91,
40.192.0.0,40.255.255.255,4194304,23/04/91,
44.0.0.0,44.255.255.255,16777216,01/07/92,
45.0.0.0,45.1.255.255,131072,09/09/91,
45.16.0.0,45.31.255.255,1048576,11/12/14,
45.32.0.0,45.32.255.255,65536,17/02/15,
45.34.0.0,45.35.255.255,131072,03/03/15,
45.36.0.0,45.37.255.255,131072,11/02/15,
45.38.0.0,45.39.255.255,131072,18/03/15,
45.46.0.0,45.47.255.255,131072,02/02/15,
45.48.0.0,45.51.255.255,262144,06/01/15,
45.52.0.0,45.53.255.255,131072,29/01/15,
45.55.0.0,45.55.255.255,65536,05/02/15,
45.60.0.0,45.60.255.255,65536,15/01/15,
45.76.0.0,45.77.255.255,131072,24/04/15,
45.79.0.0,45.79.255.255,65536,29/04/15,
47.16.0.0,47.19.255.255,262144,29/02/12,
47.20.0.0,47.23.255.255,262144,29/02/12,
47.32.0.0,47.47.255.255,1048576,23/12/14,
47.48.0.0,47.51.255.255,262144,23/12/14,
47.53.0.0,47.53.255.255,65536,15/05/12,
47.58.0.0,47.59.255.255,131072,15/05/12,
47.60.0.0,47.63.255.255,262144,15/05/12,
47.64.0.0,47.71.255.255,524288,15/05/12,
47.72.0.0,47.73.255.255,131072,15/05/12,
47.88.0.0,47.91.255.255,262144,18/05/15,
48.0.0.0,48.255.255.255,16777216,07/12/90,
50.0.0.0,50.1.255.255,131072,06/07/10,
50.2.0.0,50.3.255.255,131072,25/06/10,
50.4.0.0,50.4.255.255,65536,02/08/10,
50.5.0.0,50.5.255.255,65536,09/09/10,
50.6.0.0,50.6.255.255,65536,06/10/10,
50.7.0.0,50.7.255.255,65536,18/10/10,
50.8.0.0,50.15.255.255,524288,15/07/10,
50.16.0.0,50.19.255.255,262144,07/10/10,
50.20.0.0,50.20.255.255,65536,15/10/10,
50.22.0.0,50.23.255.255,131072,01/11/10,
50.24.0.0,50.27.255.255,262144,25/10/10,
50.32.0.0,50.47.255.255,1048576,24/09/10,
50.48.0.0,50.55.255.255,524288,24/09/10,
50.56.0.0,50.57.255.255,131072,14/01/11,
50.58.0.0,50.59.255.255,131072,21/01/11,
50.60.0.0,50.61.255.255,131072,25/01/11,
50.62.0.0,50.63.255.255,131072,02/02/11,
50.73.0.0,50.73.255.255,65536,06/01/11,
50.74.0.0,50.75.255.255,131072,04/01/11,
50.76.0.0,50.79.255.255,262144,06/01/11,
50.80.0.0,50.83.255.255,262144,03/11/10,
50.84.0.0,50.84.255.255,65536,11/11/10,
50.85.0.0,50.85.255.255,65536,10/01/11,
50.86.0.0,50.86.255.255,65536,10/03/11,
50.87.0.0,50.87.255.255,65536,24/01/11,
50.88.0.0,50.91.255.255,262144,01/02/11,
50.94.0.0,50.95.255.255,131072,11/03/11,
50.96.0.0,50.96.255.255,65536,11/03/11,
50.97.0.0,50.97.255.255,65536,18/04/11,
50.102.0.0,50.103.255.255,131072,25/04/11,
50.104.0.0,50.111.255.255,524288,25/04/11,
50.112.0.0,50.112.255.255,65536,23/05/11,
50.113.0.0,50.113.255.255,65536,20/05/11,
50.114.0.0,50.114.255.255,65536,20/06/11,
50.119.0.0,50.119.255.255,65536,02/09/11,
50.120.0.0,50.127.255.255,524288,06/09/11,
50.128.0.0,50.255.255.255,8388608,21/10/10,
52.0.0.0,52.31.255.255,2097152,19/12/91,
52.32.0.0,52.63.255.255,2097152,19/12/91,
52.64.0.0,52.79.255.255,1048576,19/12/91,
52.80.0.0,52.83.255.255,262144,19/12/91,
52.84.0.0,52.87.255.255,262144,19/12/91,
52.88.0.0,52.95.255.255,524288,19/12/91,
52.96.0.0,52.111.255.255,1048576,19/12/91,
52.112.0.0,52.115.255.255,262144,19/12/91,
52.116.0.0,52.117.255.255,131072,27/04/15,
52.118.0.0,52.118.255.255,65536,27/04/15,
52.119.0.0,52.119.255.255,65536,19/12/91,
52.120.0.0,52.127.255.255,524288,19/12/91,
52.128.0.0,52.255.255.255,8388608,19/12/91,
54.0.0.0,54.63.255.255,4194304,17/03/92,
54.64.0.0,54.71.255.255,524288,20/06/14,
54.72.0.0,54.79.255.255,524288,25/11/13,
54.80.0.0,54.95.255.255,1048576,25/11/13,
54.96.0.0,54.127.255.255,2097152,17/03/92,
54.128.0.0,54.143.255.255,1048576,17/03/92,
54.144.0.0,54.159.255.255,1048576,23/10/14,
54.160.0.0,54.175.255.255,1048576,20/06/14,
54.176.0.0,54.191.255.255,1048576,25/11/13,
54.192.0.0,54.207.255.255,1048576,19/06/13,
54.208.0.0,54.215.255.255,524288,19/02/13,
54.216.0.0,54.219.255.255,262144,19/02/13,
54.220.0.0,54.221.255.255,131072,19/02/13,
54.224.0.0,54.239.255.255,1048576,01/03/12,
54.240.0.0,54.255.255.255,1048576,09/12/11,
55.0.0.0,55.255.255.255,16777216,26/10/96,
56.0.0.0,56.255.255.255,16777216,02/11/92,
63.0.0.0,63.63.255.255,4194304,31/07/98,
63.64.0.0,63.127.255.255,4194304,22/01/99,
63.128.0.0,63.129.255.255,131072,30/11/99,
63.130.0.0,63.130.255.255,65536,30/11/99,
63.132.0.0,63.132.255.255,65536,12/06/02,
63.137.0.0,63.137.255.255,65536,14/06/00,
63.138.0.0,63.139.255.255,131072,17/05/05,
63.144.0.0,63.151.255.255,524288,13/03/00,
63.152.0.0,63.159.255.255,524288,12/07/00,
63.160.0.0,63.175.255.255,1048576,03/12/99,
63.176.0.0,63.191.255.255,1048576,23/09/99,
63.192.0.0,63.207.255.255,1048576,10/05/99,
63.208.0.0,63.215.255.255,524288,28/05/99,
63.216.0.0,63.223.255.255,524288,09/12/99,
63.224.0.0,63.231.255.255,524288,07/06/99,
63.232.0.0,63.235.255.255,262144,11/10/99,
63.236.0.0,63.239.255.255,262144,19/11/99,
63.240.0.0,63.241.255.255,131072,03/11/99,
63.242.0.0,63.242.255.255,65536,03/11/99,
63.244.0.0,63.244.255.255,65536,22/10/02,
63.248.0.0,63.248.255.255,65536,17/04/09,
63.251.0.0,63.251.255.255,65536,02/12/99,
63.252.0.0,63.255.255.255,262144,18/11/99,
64.0.0.0,64.3.255.255,262144,31/01/00,
64.10.0.0,64.11.255.255,131072,09/12/99,
64.12.0.0,64.12.255.255,65536,13/12/99,
64.14.0.0,64.14.255.255,65536,13/12/99,
64.24.0.0,64.24.255.255,65536,29/12/99,
64.34.0.0,64.34.255.255,65536,15/07/04,
64.36.0.0,64.36.255.255,65536,28/01/00,
64.43.0.0,64.43.255.255,65536,14/02/00,
64.47.0.0,64.47.255.255,65536,02/03/00,
64.48.0.0,64.48.255.255,65536,03/03/00,
64.51.0.0,64.51.255.255,65536,03/03/00,
64.54.0.0,64.54.255.255,65536,08/03/00,
64.55.0.0,64.55.255.255,65536,09/03/00,
64.60.0.0,64.60.255.255,65536,10/03/00,
64.67.0.0,64.67.255.255,65536,28/03/00,
64.74.0.0,64.74.255.255,65536,05/04/00,
64.76.0.0,64.76.255.255,65536,19/04/00,
64.80.0.0,64.80.255.255,65536,27/04/00,
64.81.0.0,64.81.255.255,65536,28/04/00,
64.86.0.0,64.86.255.255,65536,04/05/00,
64.94.0.0,64.95.255.255,131072,05/06/00,
64.100.0.0,64.103.255.255,262144,24/05/00,
64.104.0.0,64.104.255.255,65536,24/05/00,
64.105.0.0,64.105.255.255,65536,07/06/00,
64.107.0.0,64.107.255.255,65536,16/06/00,
64.108.0.0,64.109.255.255,131072,13/06/00,
64.115.0.0,64.115.255.255,65536,30/06/00,
64.116.0.0,64.117.255.255,131072,30/06/00,
64.121.0.0,64.121.255.255,65536,03/07/00,
64.122.0.0,64.122.255.255,65536,05/07/00,
64.123.0.0,64.123.255.255,65536,10/07/00,
64.124.0.0,64.125.255.255,131072,06/07/00,
64.128.0.0,64.129.255.255,131072,26/04/04,
64.132.0.0,64.132.255.255,65536,17/07/00,
64.133.0.0,64.133.255.255,65536,19/07/00,
64.134.0.0,64.134.255.255,65536,21/07/00,
64.143.0.0,64.143.255.255,65536,17/05/02,
64.144.0.0,64.144.255.255,65536,31/07/00,
64.148.0.0,64.149.255.255,131072,04/05/05,
64.152.0.0,64.159.255.255,524288,08/06/00,
64.160.0.0,64.175.255.255,1048576,02/06/00,
64.176.0.0,64.177.255.255,131072,08/06/00,
64.182.0.0,64.182.255.255,65536,13/07/04,
64.189.0.0,64.189.255.255,65536,28/04/09,
64.192.0.0,64.195.255.255,262144,13/07/04,
64.196.0.0,64.199.255.255,262144,10/04/00,
64.200.0.0,64.200.255.255,65536,21/03/00,
64.204.0.0,64.205.255.255,131072,16/05/00,
64.206.0.0,64.206.255.255,65536,08/04/08,
64.208.0.0,64.208.255.255,65536,15/03/00,
64.212.0.0,64.215.255.255,262144,15/03/00,
64.216.0.0,64.219.255.255,262144,16/03/00,
64.220.0.0,64.221.255.255,131072,20/03/00,
64.224.0.0,64.227.255.255,262144,23/02/00,
64.232.0.0,64.232.255.255,65536,15/02/00,
64.236.0.0,64.236.255.255,65536,02/02/00,
64.240.0.0,64.243.255.255,262144,01/02/00,
64.244.0.0,64.245.255.255,131072,02/01/01,
64.248.0.0,64.249.255.255,131072,02/02/00,
64.252.0.0,64.252.255.255,65536,04/01/00,
65.0.0.0,65.15.255.255,1048576,29/12/03,
65.16.0.0,65.16.255.255,65536,16/08/00,
65.20.0.0,65.21.255.255,131072,29/01/01,
65.24.0.0,65.27.255.255,262144,22/08/00,
65.28.0.0,65.31.255.255,262144,08/02/01,
65.32.0.0,65.33.255.255,131072,22/08/00,
65.35.0.0,65.35.255.255,65536,22/08/00,
65.40.0.0,65.41.255.255,131072,08/04/02,
65.42.0.0,65.43.255.255,131072,05/04/01,
65.44.0.0,65.47.255.255,262144,02/03/01,
65.51.0.0,65.51.255.255,65536,05/11/07,
65.52.0.0,65.55.255.255,262144,14/02/01,
65.56.0.0,65.59.255.255,262144,21/09/01,
65.62.0.0,65.63.255.255,131072,06/11/02,
65.64.0.0,65.71.255.255,524288,03/10/00,
65.72.0.0,65.72.255.255,65536,21/05/01,
65.73.0.0,65.73.255.255,65536,03/09/02,
65.76.0.0,65.76.255.255,65536,15/02/01,
65.77.0.0,65.77.255.255,65536,01/08/02,
65.80.0.0,65.83.255.255,262144,28/11/00,
65.84.0.0,65.85.255.255,131072,08/12/00,
65.86.0.0,65.86.255.255,65536,08/12/00,
65.88.0.0,65.91.255.255,262144,21/12/00,
65.96.0.0,65.96.255.255,65536,02/01/01,
65.100.0.0,65.103.255.255,262144,03/01/01,
65.104.0.0,65.107.255.255,262144,30/01/01,
65.108.0.0,65.109.255.255,131072,09/02/01,
65.112.0.0,65.127.255.255,1048576,04/01/01,
65.128.0.0,65.159.255.255,2097152,23/08/00,
65.160.0.0,65.167.255.255,524288,19/09/00,
65.168.0.0,65.171.255.255,262144,19/09/00,
65.172.0.0,65.173.255.255,131072,19/09/00,
65.174.0.0,65.174.255.255,65536,19/09/00,
65.176.0.0,65.179.255.255,262144,07/08/01,
