41.72.192.0,41.72.223.255,8192,07/12/09,
41.84.128.0,41.84.159.255,8192,29/09/10,
41.87.96.0,41.87.127.255,8192,16/08/10,
41.136.0.0,41.136.255.255,65536,05/02/09,
41.190.128.0,41.190.159.255,8192,15/07/08,
41.206.96.0,41.206.127.255,8192,05/11/12,
41.207.128.0,41.207.159.255,8192,26/04/06,
41.211.64.0,41.211.95.255,8192,17/05/07,
41.212.128.0,41.212.255.255,32768,29/08/06,
41.216.96.0,41.216.127.255,8192,05/09/08,
41.220.224.0,41.220.239.255,4096,23/02/07,
41.220.240.0,41.220.255.255,4096,29/03/07,
80.67.128.0,80.67.143.255,4096,30/12/14,
80.240.192.0,80.240.207.255,4096,11/10/01,
105.16.0.0,105.31.255.255,1048576,01/06/14,
105.235.144.0,105.235.159.255,4096,23/11/12,
154.71.0.0,154.71.255.255,65536,29/11/13,
154.120.192.0,154.120.255.255,16384,05/03/14,
154.127.48.0,154.127.63.255,4096,05/03/14,
196.12.128.0,196.12.159.255,8192,30/06/05,
196.20.128.0,196.20.255.255,32768,09/07/07,
196.22.144.0,196.22.159.255,4096,12/08/05,
196.27.64.0,196.27.95.255,8192,08/12/05,
196.46.32.0,196.46.63.255,8192,06/12/05,
196.192.0.0,196.192.15.255,4096,05/11/03,
196.192.96.0,196.192.111.255,4096,15/02/05,
196.200.208.0,196.200.223.255,4096,04/03/15,
196.207.48.0,196.207.63.255,4096,03/09/05,
196.216.64.0,196.216.95.255,8192,11/08/05,
197.155.64.0,197.155.95.255,8192,10/09/12,
197.155.224.0,197.155.239.255,4096,02/10/14,
197.211.192.0,197.211.255.255,16384,20/12/12,
197.224.0.0,197.227.255.255,262144,07/04/10,
202.123.0.0,202.123.31.255,8192,12/05/00,
217.21.112.0,217.21.127.255,4096,10/12/03,

