2.80.0.0,2.83.255.255,262144,29/04/10,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
5.43.0.0,5.43.63.255,16384,18/05/12,Vodafone Telecel, Comunicacoes Pessoais, SA
5.44.192.0,5.44.207.255,4096,24/05/12,AllTele LDA
5.158.0.0,5.158.63.255,16384,25/07/12,Vodafone Telecel, Comunicacoes Pessoais, SA
5.249.0.0,5.249.127.255,32768,13/09/12,Vodafone Telecel, Comunicacoes Pessoais, SA
31.22.128.0,31.22.255.255,32768,25/03/11,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
37.28.192.0,37.28.255.255,16384,02/01/12,Vodafone Telecel, Comunicacoes Pessoais, SA
37.189.0.0,37.189.255.255,65536,20/03/12,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
46.50.0.0,46.50.127.255,32768,14/07/10,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
46.189.128.0,46.189.255.255,32768,07/12/10,Vodafone Telecel, Comunicacoes Pessoais, SA
62.28.0.0,62.28.255.255,65536,08/06/06,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
62.48.128.0,62.48.191.255,16384,22/06/00,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
62.48.192.0,62.48.255.255,16384,09/08/02,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
62.169.64.0,62.169.127.255,16384,01/10/01,NOS COMUNICACOES, S.A.
62.249.0.0,62.249.31.255,8192,21/07/00,Verizon Portugal- Sociedade Unipessoal Lda
77.54.0.0,77.54.255.255,65536,25/01/07,Vodafone Telecel, Comunicacoes Pessoais, SA
78.29.128.0,78.29.191.255,16384,27/09/07,NOS ACORES COMUNICACOES, S.A.
78.130.0.0,78.130.127.255,32768,09/05/07,NOS COMUNICACOES, S.A.
78.137.192.0,78.137.255.255,16384,01/09/11,Vodafone Telecel, Comunicacoes Pessoais, SA
79.168.0.0,79.169.255.255,131072,05/09/07,NOS COMUNICACOES, S.A.
80.172.0.0,80.172.255.255,65536,12/05/03,Claranet Portugal Telecomunicacoes S.A.
80.243.80.0,80.243.95.255,4096,09/09/05,NOS COMUNICACOES, S.A.
81.20.240.0,81.20.255.255,4096,26/03/02,
81.84.0.0,81.84.255.255,65536,22/05/02,NOS COMUNICACOES, S.A.
81.90.48.0,81.90.63.255,4096,18/11/08,REFER TELECOM, SERVICOS DE TELECOMUNICACOES S.A.
81.92.192.0,81.92.207.255,4096,01/08/02,NFSi Telecom, Lda.
81.92.208.0,81.92.223.255,4096,10/09/03,NFSi Telecom, Lda.
81.193.0.0,81.193.255.255,65536,06/08/02,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
82.102.16.0,82.102.31.255,4096,29/12/03,NFSi Telecom, Lda.
82.102.32.0,82.102.63.255,8192,29/12/03,NFSi Telecom, Lda.
82.154.0.0,82.155.255.255,131072,19/11/03,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
83.132.0.0,83.132.255.255,65536,20/01/04,NOS COMUNICACOES, S.A.
83.144.128.0,83.144.191.255,16384,23/01/04,NOS COMUNICACOES, S.A.
83.174.0.0,83.174.63.255,16384,18/05/04,Vodafone Telecel, Comunicacoes Pessoais, SA
83.223.160.0,83.223.191.255,8192,13/07/04,NOS Madeira Comunicacoes, S.A.
