41.72.224.0,41.72.255.255,8192,11/12/09,
41.158.0.0,41.159.255.255,131072,24/06/08,
41.211.128.0,41.211.191.255,16384,02/12/06,
154.0.32.0,154.0.63.255,8192,16/07/13,
154.0.176.0,154.0.191.255,4096,30/08/13,
154.112.0.0,154.112.255.255,65536,06/06/14,
154.116.0.0,154.116.127.255,32768,06/06/14,
154.119.192.0,154.119.223.255,8192,06/06/14,
169.159.0.0,169.159.63.255,16384,12/11/14,
197.231.64.0,197.231.127.255,16384,25/03/13,
197.242.0.0,197.242.31.255,8192,18/05/12,
217.77.64.0,217.77.79.255,4096,01/12/00,

